name,id,slug
Хвольсон А.Б.,5c48b6c772ebd144ef45d45e,hvolson-a-b
Зеленова В.,5c48b67472ebd144ef45ba94,zelenova-valeriya-7-let
Ананьев М.А.,5c48b66f72ebd144ef45b92d,ananev-ma
Америго Веспуччи,5c48b67772ebd144ef45bb7e,amerigo-vespuchchi
Амедео Модильяни,5c48b6c172ebd144ef45d277,amadeo-modilyani
Макс Жакоб,5c48b6c172ebd144ef45d28e,maks-zhakob
Джакомо да Кастелло,5c48b6b772ebd144ef45cf4a,dzhakomo-da-kastello
Аксельрод М.М.,5c48b6dc72ebd144ef45db07,akselrod-m-m
Агустин де Сарате,5c48b67672ebd144ef45bb3d,agustin-de-sarate
Александр-Габриэль Декан,5c48b68072ebd144ef45bd49,aleksandr-gabriel-dekan
Смирнов-Русецкий Б.А.,5c48b6dc72ebd144ef45db27,smirnov-ruseckiy-b-a
Ёса Бусон,5c48b6bf72ebd144ef45d199,yosa-buson
Кононенко М.С.,5c48b6ca72ebd144ef45d564,kononenko-m-s
Ян Хавикс Стен,5c48b69072ebd144ef45c208,yan-sten
Некрасов В.А.,5c48b69072ebd144ef45c221,nekrasov-v-a
Нилус П.А.,5c48b68472ebd144ef45be4d,nilus-p-a
Щербаков Б.В.,5c48b6ae72ebd144ef45cc1f,shcherbakov-b-v
Пластов А.А.,5c4a2775f1aa5824b14b7923,plastov-a-a
Федоров С.А.,5c48b68372ebd144ef45bdf5,fedorov-s
Тосюсай Сяраку,5c48b6be72ebd144ef45d171,tosyusay-syaraku
Утамаро Китагава,5c48b6d772ebd144ef45d942,utamaro-kitagava
Гертруда Хермес,5c48b6d772ebd144ef45d93e,gertruda-hermes
Фернан Леже,5c48b67d72ebd144ef45bc8f,fernan-lezhe
Оноре Домье,5c48b67a72ebd144ef45bc19,onore-dome
Франсуа-Серафим Дельпек,5c48b6d772ebd144ef45d915,fransua-serafim-delpek
Эдвард Стайхен,5c48b6d772ebd144ef45d936,edvard-stayhen
Уолт Дисней,5c48b6d672ebd144ef45d8f3,uolt-disney
Ян ван дер Венне,5c48b6b472ebd144ef45ce34,yan-van-der-venne
Сибирский В.М.,5c48b67272ebd144ef45b9ea,veniamin-m-s
Ито Дзякутю,5c48b6be72ebd144ef45d157,ito-dzyakutyu
Пушкин А.С.,5c48b6ca72ebd144ef45d583,pushkin-as
Александр Рослин,5c48b69e72ebd144ef45c6f5,roslin-aleksandr-1718-1793
Шмидт А.В.,5c48b68c72ebd144ef45c0e4,shmidt-a-v
Сурикова П.Ф.,5c48b6d972ebd144ef45d9fa,surikova-p-f
Борисов-Мусатов В.Э.,5c48b69d72ebd144ef45c66b,borisov-musatov-ve
Бернардо Беллотто,5c48b6b772ebd144ef45cf1d,bernardo-bellotto
Чернецов Н.Г.,5c48b6a172ebd144ef45c7f5,chernecov-ng
Зощенко М.М.,5c48b66972ebd144ef45b76f,zoshchenko-m-i
